Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size|ETF|NextShares
AAAU|Goldman Sachs Physical Gold ETF Shares|P|AAAU|Y|100|N|AAAU
AAA|Listed Funds Trust AAF First Priority CLO Bond ETF|P|AAA|Y|100|N|AAA
AAC.U|Ares Acquisition Corporation Units, each consisting of one Class A ordinary share, and one-fifth of one redeemable warrant|N|AAC.U|N|100|N|AAC=
AAC.W|Ares Acquisition Corporation Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50|N|AAC.WS|N|100|N|AAC+
AACG|ATA Creativity Global - American Depositary Shares, each representing two common shares|G|N|N|100|N|N
AACQU|Artius Acquisition Inc. - Unit consisting of one ordinary share and one third redeemable warrant|S|N|N|100|N|N
AACQW|Artius Acquisition Inc. - Warrant|S|N|N|100|N|N
AACQ|Artius Acquisition Inc. - Class A Common Stock|S|N|N|100|N|N
AAC|Ares Acquisition Corporation Class A Ordinary Shares|N|AAC|N|100|N|AAC
AADR|AdvisorShares Dorsey Wright ADR ETF|P|AADR|Y|100|N|AADR
AAIC$B|Arlington Asset Investment Corp 7.00% |N|AAICpB|N|100|N|AAIC-B
AAIC$C|Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   |N|AAICpC|N|100|N|AAIC-C
AAIC|Arlington Asset Investment Corp Class A (new)|N|AAIC|N|100|N|AAIC
AAL|American Airlines Group, Inc. - Common Stock|Q|N|N|100|N|N
AAMC|Altisource Asset Management Corp Com|A|AAMC|N|100|N|AAMC
AAME|Atlantic American Corporation - Common Stock|G|N|N|100|N|N
AAN|Aarons Holdings Company, Inc. Common Stock |N|AAN|N|100|N|AAN
AAOI|Applied Optoelectronics, Inc. - Common Stock|G|N|N|100|N|N
AAON|AAON, Inc. - Common Stock|Q|N|N|100|N|N
AAPL|Apple Inc. - Common Stock|Q|N|N|100|N|N
AAP|Advance Auto Parts Inc Advance Auto Parts Inc W/I|N|AAP|N|100|N|AAP
AAQC.U|Accelerate Acquisition Corp. Units, each consisting of one Class A common stock, and one-third of one redeemable warrant|N|AAQC.U|N|100|N|AAQC=
AAT|American Assets Trust, Inc. Common Stock|N|AAT|N|100|N|AAT
AAU|Almaden Minerals, Ltd. Common Shares|A|AAU|N|100|N|AAU
AAWW|Atlas Air Worldwide Holdings - Common Stock|Q|N|N|100|N|N
AAXJ|iShares MSCI All Country Asia ex Japan Index Fund|G|N|N|100|Y|N
AA|Alcoa Corporation Common Stock |N|AA|N|100|N|AA
ABBV|AbbVie Inc. Common Stock|N|ABBV|N|100|N|ABBV
ABB|ABB Ltd Common Stock|N|ABB|N|100|N|ABB
ABCB|Ameris Bancorp - Common Stock|Q|N|N|100|N|N
ABCL|AbCellera Biologics Inc. - Common Shares|Q|N|N|100|N|N
ABCM|Abcam plc - American Depositary Shares|Q|N|N|100|N|N
ABC|AmerisourceBergen Corporation Common Stock|N|ABC|N|100|N|ABC
ABEO|Abeona Therapeutics Inc. - Common Stock|S|N|N|100|N|N
ABEQ|Absolute Core Strategy ETF|P|ABEQ|Y|100|N|ABEQ
ABEV|Ambev S.A. American Depositary Shares (Each representing 1 Common Share)|N|ABEV|N|100|N|ABEV
ABGI|ABG Acquisition Corp. I - Class A Ordinary Shares|S|N|N|100|N|N
ABG|Asbury Automotive Group Inc Common Stock|N|ABG|N|100|N|ABG
ABIO|ARCA biopharma, Inc. - Common Stock|S|N|N|100|N|N
ABMD|ABIOMED, Inc. - Common Stock|Q|N|N|100|N|N
ABM|ABM Industries Incorporated Common Stock|N|ABM|N|100|N|ABM
ABNB|Airbnb, Inc. - Class A Common Stock|Q|N|N|100|N|N
ABR$A|Arbor Realty Trust Preferred Series A|N|ABRpA|N|100|N|ABR-A
ABR$B|Arbor Realty Trust Cumulative Redeemable Preferred Series B|N|ABRpB|N|100|N|ABR-B
ABR$C|Arbor Realty Trust Cumulative Redeemable Preferred Series C|N|ABRpC|N|100|N|ABR-C
ABR|Arbor Realty Trust Common Stock|N|ABR|N|100|N|ABR
ABST|Absolute Software Corporation - Common Stock|Q|N|N|100|N|N
ABTX|Allegiance Bancshares, Inc. - Common Stock|G|N|N|100|N|N
ABT|Abbott Laboratories Common Stock|N|ABT|N|100|N|ABT
ABUS|Arbutus Biopharma Corporation - Common Stock|Q|N|N|100|N|N
AB|AllianceBernstein Holding L.P.  Units|N|AB|N|100|N|AB
ACACU|Acies Acquisition Corp. - Unit|S|N|N|100|N|N
ACACW|Acies Acquisition Corp. - Warrant|S|N|N|100|N|N
ACAC|Acies Acquisition Corp. - Class A Ordinary Share|S|N|N|100|N|N
ACAD|ACADIA Pharmaceuticals Inc. - Common Stock|Q|N|N|100|N|N
ACAHU|Atlantic Coastal Acquisition Corp. - Unit|S|N|N|100|N|N
ACA|Arcosa, Inc. Common Stock |N|ACA|N|100|N|ACA
ACBAU|Ace Global Business Acquisition Limited - Unit|S|N|N|100|N|N
ACBI|Atlantic Capital Bancshares, Inc. - Common Stock|Q|N|N|100|N|N
ACB|Aurora Cannabis Inc. Common Shares|N|ACB|N|100|N|ACB
ACCD|Accolade, Inc. - common stock|Q|N|N|100|N|N
ACCO|Acco Brands Corporation Common Stock|N|ACCO|N|100|N|ACCO
ACC|American Campus Communities Inc Common Stock|N|ACC|N|100|N|ACC
ACEL|Accel Entertainment, Inc. |N|ACEL|N|100|N|ACEL
ACER|Acer Therapeutics Inc. - Common Stock|S|N|N|100|N|N
ACES|ALPS Clean Energy ETF|P|ACES|Y|100|N|ACES
ACET|Adicet Bio, Inc. - Common Stock|G|N|N|100|N|N
ACEVU|ACE Convergence Acquisition Corp. - Unit|S|N|N|100|N|N
ACEVW|ACE Convergence Acquisition Corp. - Warrant|S|N|N|100|N|N
ACEV|ACE Convergence Acquisition Corp. - Class A Ordinary Shares|S|N|N|100|N|N
ACGLO|Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F|Q|N|N|100|N|N
ACGLP|Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs|Q|N|N|100|N|N
ACGL|Arch Capital Group Ltd. - Common Stock|Q|N|N|100|N|N
ACHC|Acadia Healthcare Company, Inc. - Common Stock|Q|N|N|100|N|N
ACHL|Achilles Therapeutics plc - American Depositary Shares|Q|N|N|100|N|N
ACHV|Achieve Life Sciences, Inc.  - Common Shares|S|N|N|100|N|N
ACH|Aluminum Corporation of China Limited American Depositary Shares|N|ACH|N|100|N|ACH
ACIC.U|Atlas Crest Investment Corp. Units, each consisting of one Class A common stock, and one-third of one redeemable warrant|N|ACIC.U|N|100|N|ACIC=
ACIC.W|Atlas Crest Investment Corp. Redeemable warrants included as part of the units, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50|N|ACIC.WS|N|100|N|ACIC+
ACIC|Atlas Crest Investment Corp. Class A Common Stock|N|ACIC|N|100|N|ACIC
ACII.U|Atlas Crest Investment Corp. II Units, each consisting of one Class A common stock, $.0001 par value, and one-fourth of one redeemable warrant|N|ACII.U|N|100|N|ACII=
ACII.W|Atlas Crest Investment Corp. II Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50|N|ACII.WS|N|100|N|ACII+
ACII|Atlas Crest Investment Corp. II Class A Common Stock|N|ACII|N|100|N|ACII
ACIO|ETF Series Solutions Aptus Collared Income Opportunity ETF|Z|ACIO|Y|100|N|ACIO
ACIU|AC Immune SA - Common Stock|G|N|N|100|N|N
ACIW|ACI Worldwide, Inc. - Common Stock|Q|N|N|100|N|N
ACI|Albertsons Companies, Inc. Class A Common Stock|N|ACI|N|100|N|ACI
ACKIT|Ackrell SPAC Partners I Co.  - Subunits|S|N|N|100|N|N
ACKIU|Ackrell SPAC Partners I Co.  - Units|S|N|N|100|N|N
ACKIW|Ackrell SPAC Partners I Co.  - Warrants|S|N|N|100|N|N
ACLS|Axcelis Technologies, Inc. - Common Stock|Q|N|N|100|N|N
ACMR|ACM Research, Inc. - Class A Common Stock|G|N|N|100|N|N
ACM|AECOM Common Stock|N|ACM|N|100|N|ACM
ACNB|ACNB Corporation - Common Stock|S|N|N|100|N|N
ACND.U|Ascendant Digital Acquisition Corp. Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant|N|ACND.U|N|100|N|ACND=
ACND.W|Ascendant Digital Acquisition Corp. Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share|N|ACND.WS|N|100|N|ACND+
ACND|Ascendant Digital Acquisition Corp. Class A Ordinary Shares|N|ACND|N|100|N|ACND
ACN|Accenture plc Class A Ordinary Shares (Ireland)|N|ACN|N|100|N|ACN
ACOR|Acorda Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
ACP|Aberdeen Income Credit Strategies Fund Common Shares|N|ACP|N|100|N|ACP
ACQRU|Independence Holdings Corp. - Units|S|N|N|100|N|N
ACR$C|ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock |N|ACRpC|N|100|N|ACR-C
ACRE|Ares Commercial Real Estate Corporation Common Stock|N|ACRE|N|100|N|ACRE
ACRS|Aclaris Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
ACRX|AcelRx Pharmaceuticals, Inc. - Common Stock|G|N|N|100|N|N
ACR|ACRES Commercial Realty Corp. Common Stock|N|ACR|N|100|N|ACR
ACSG|Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF|P|ACSG|Y|100|N|ACSG
ACSI|American Customer Satisfaction ETF|Z|ACSI|Y|100|N|ACSI
ACST|Acasti Pharma, Inc. - Class A Common Stock|S|N|D|100|N|N
ACTCU|ArcLight Clean Transition Corp. - Unit|S|N|N|100|N|N
ACTCW|ArcLight Clean Transition Corp. - Warrant|S|N|N|100|N|N
ACTC|ArcLight Clean Transition Corp. - Class A Ordinary Shares|S|N|N|100|N|N
ACTDU|ArcLight Clean Transition Corp. II - Unit|S|N|N|100|N|N
ACTG|Acacia Research Corporation - Common Stock|Q|N|N|100|N|N
ACTV|LeaderShares Activist Leaders ETF|P|ACTV|Y|100|N|ACTV
ACU|Acme United Corporation. Common Stock|A|ACU|N|100|N|ACU
ACVA|ACV Auctions Inc. - Class A Common Stock|Q|N|N|100|N|N
ACVF|American Conservative Values ETF|P|ACVF|Y|100|N|ACVF
ACV|Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest|N|ACV|N|100|N|ACV
ACWF|iShares MSCI Global Multifactor ETF|P|ACWF|Y|100|N|ACWF
ACWI|iShares MSCI ACWI Index Fund|G|N|N|100|Y|N
ACWV|iShares MSCI Global Min Vol Factor ETF|Z|ACWV|Y|100|N|ACWV
ACWX|iShares MSCI ACWI ex US Index Fund|G|N|N|100|Y|N
ACY|AeroCentury Corp. Common Stock|A|ACY|N|100|N|ACY
AC|Associated Capital Group, Inc. Common Stock|N|AC|N|100|N|AC
ADAG|Adagene Inc. - ADS, each representing 1.25 ordinary shares|G|N|N|100|N|N
ADAP|Adaptimmune Therapeutics plc - American Depositary Shares|Q|N|N|100|N|N
ADBE|Adobe Inc. - Common Stock|Q|N|N|100|N|N
ADCT|ADC Therapeutics SA Common Shares|N|ADCT|N|100|N|ADCT
ADC|Agree Realty Corporation Common Stock|N|ADC|N|100|N|ADC
ADERU|26 Capital Acquisition Corp. - Unit|S|N|N|100|N|N
ADERW|26 Capital Acquisition Corp. - Warrant|S|N|N|100|N|N
ADER|26 Capital Acquisition Corp. - Class A Common Stock|S|N|N|100|N|N
ADES|Advanced Emissions Solutions, Inc. - Common Stock|G|N|N|100|N|N
ADEX.U|Adit EdTech Acquisition Corp. Units, each consisting of one share of common stock, and one-half of one redeemable warrant|N|ADEX.U|N|100|N|ADEX=
ADEX.W|Adit EdTech Acquisition Corp. Redeemable Warrants, each whole warrant exercisable for shares of common stock at an exercise price of $11.50 per share|N|ADEX.WS|N|100|N|ADEX+
ADEX|Adit EdTech Acquisition Corp. Common Stock|N|ADEX|N|100|N|ADEX
ADF.U|Aldel Financial Inc. Units, each consisting of one share of Class A common stock and one-half of one redeemable warrant|N|ADF.U|N|100|N|ADF=
ADFI|Anfield Dynamic Fixed Income ETF|Z|ADFI|Y|100|N|ADFI
ADILW|Adial Pharmaceuticals, Inc - Warrant|S|N|N|100|N|N
ADIL|Adial Pharmaceuticals, Inc - Common Stock|S|N|N|100|N|N
ADIV|SmartETFs Asia Pacific Dividend Builder ETF|P|ADIV|Y|100|N|ADIV
ADI|Analog Devices, Inc. - Common Stock|Q|N|N|100|N|N
ADMA|ADMA Biologics Inc - Common Stock|G|N|N|100|N|N
ADME|Aptus Drawdown Managed Equity ETF|Z|ADME|Y|100|N|ADME
ADMP|Adamis Pharmaceuticals Corporation - Common Stock|S|N|N|100|N|N
ADMS|Adamas Pharmaceuticals, Inc. - Common Stock|G|N|N|100|N|N
ADM|Archer-Daniels-Midland Company Common Stock|N|ADM|N|100|N|ADM
ADNT|Adient plc Ordinary Shares |N|ADNT|N|100|N|ADNT
ADNWW|Advent Technologies Holdings, Inc. - Warrant|S|N|N|100|N|N
ADN|Advent Technologies Holdings, Inc. - Class A Common Stock|S|N|N|100|N|N
ADOCR|Edoc Acquisition Corp. - Right|S|N|N|100|N|N
ADOCW|Edoc Acquisition Corp. - Warrant|S|N|N|100|N|N
ADOC|Edoc Acquisition Corp. - Class A Ordinary Share|S|N|N|100|N|N
ADPT|Adaptive Biotechnologies Corporation - Common Stock|Q|N|N|100|N|N
ADP|Automatic Data Processing, Inc. - Common Stock|Q|N|N|100|N|N
ADRA.U|Adara Acquisition Corp. Units, each consisting of one share of Class A common stock, and one-half of one redeemable warrant|A|ADRA.U|N|100|N|ADRA=
ADRA.W|Adara Acquisition Corp. Redeemable Warrants, each whole warrant exercisable for one share of Class A Common Stock at an exercise price of $11.50|A|ADRA.WS|N|100|N|ADRA+
ADRA|Adara Acquisition Corp. Class A Common Stock|A|ADRA|N|100|N|ADRA
ADRE|Invesco BLDRS Emerging Markets 50 ADR Index Fund|G|N|N|100|Y|N
ADSK|Autodesk, Inc. - Common Stock|Q|N|N|100|N|N
ADS|Alliance Data Systems Corporation Common Stock|N|ADS|N|100|N|ADS
ADTN|ADTRAN, Inc. - Common Stock|Q|N|N|100|N|N
ADTX|ADiTx Therapeutics, Inc. - Common Stock|S|N|N|100|N|N
ADT|ADT Inc. Common Stock|N|ADT|N|100|N|ADT
ADUS|Addus HomeCare Corporation - Common Stock|Q|N|N|100|N|N
ADVM|Adverum Biotechnologies, Inc. - Common Stock|G|N|N|100|N|N
ADVWW|Advantage Solutions Inc.  - Warrant|Q|N|N|100|N|N
ADV|Advantage Solutions Inc.  - Class A Common Stock|Q|N|N|100|N|N
ADXN|Addex Therapeutics Ltd - American Depositary Shares|S|N|N|100|N|N
ADXS|Advaxis, Inc. - Common Stock|S|N|D|100|N|N
ADX|Adams Diversified Equity Fund Inc.|N|ADX|N|100|N|ADX
AEACU|Authentic Equity Acquisition Corp. - Unit|S|N|N|100|N|N
AEACW|Authentic Equity Acquisition Corp. - Warrant|S|N|N|100|N|N
AEAC|Authentic Equity Acquisition Corp. - Class A ordinary share|S|N|N|100|N|N
AEB|AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)|N|AEB|N|100|N|AEB
AEE|Ameren Corporation Common Stock|N|AEE|N|100|N|AEE
AEFC|Aegon Funding Company LLC 5.10% Subordinated Notes due 2049|N|AEFC|N|100|N|AEFC
AEF|Aberdeen Emerging Markets Equity Income Fund, Inc. Common Stock|A|AEF|N|100|N|AEF
AEGN|Aegion Corp - Class A Common Stock|Q|N|N|100|N|N
AEG|AEGON N.V. Common Stock|N|AEG|N|100|N|AEG
AEHL|Antelope Enterprise Holdings Limited - Common Stock|S|N|N|100|N|N
AEHR|Aehr Test Systems - Common Stock|S|N|N|100|N|N
AEIS|Advanced Energy Industries, Inc. - Common Stock|Q|N|N|100|N|N
AEI|Alset EHome International Inc. - Common Stock|S|N|N|100|N|N
AEL$A|American Equity Investment Life Holding Company Depositary Shares, each representing a 1/1,000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock, Series A|N|AELpA|N|100|N|AEL-A
AEL$B|American Equity Investment Life Holding Company Depositary Shares, each representing a 1/1,000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock, Series B|N|AELpB|N|100|N|AEL-B
AEL|American Equity Investment Life Holding Company Common Stock|N|AEL|N|100|N|AEL
AEMD|Aethlon Medical, Inc. - Common Stock|S|N|N|100|N|N
AEM|Agnico Eagle Mines Limited Common Stock|N|AEM|N|100|N|AEM
AENZ|Aenza S.A.A. American Depositary Shares|N|AENZ|N|100|N|AENZ
AEO|American Eagle Outfitters, Inc. Common Stock|N|AEO|N|100|N|AEO
AEPPL|American Electric Power Company, Inc. - Corporate Unit|Q|N|N|100|N|N
AEPPZ|American Electric Power Company, Inc. - Corporate Unit|Q|N|N|100|N|N
AEP|American Electric Power Company, Inc. - Common Stock|Q|N|N|100|N|N
AERI|Aerie Pharmaceuticals, Inc. - Common Stock|G|N|N|100|N|N
AER|AerCap Holdings N.V. Ordinary Shares|N|AER|N|100|N|AER
AESC|The AES Corporation Corporate Units|N|AESC|N|100|N|AESC
AESE|Allied Esports Entertainment, Inc. - Common Stock|S|N|N|100|N|N
AESR|Anfield U.S. Equity Sector Rotation ETF|Z|AESR|Y|100|N|AESR
AES|The AES Corporation Common Stock|N|AES|N|100|N|AES
AEVA.W|Aeva Technologies, Inc. Redeemable Warrants, each whole warrant exercisable for shares of common stock at an exercise price of $11.50 per share|N|AEVA.WS|N|100|N|AEVA+
AEVA|Aeva Technologies, Inc. Common Stock|N|AEVA|N|100|N|AEVA
AEYE|AudioEye, Inc. - Common Stock|S|N|N|100|N|N
AEY|ADDvantage Technologies Group, Inc. - Common Stock|G|N|N|100|N|N
AEZS|Aeterna Zentaris Inc. - Common Stock|S|N|N|100|N|N
AE|Adams Resources & Energy, Inc. Common Stock|A|AE|N|100|N|AE
AFAQU|AF Acquisition Corp. - Units|S|N|N|100|N|N
AFBI|Affinity Bancshares, Inc. - Common Stock|S|N|N|100|N|N
AFB|AllianceBernstein National Municipal Income Fund Inc|N|AFB|N|100|N|AFB
AFCG|AFC Gamma, Inc. - Common Stock|G|N|N|100|N|N
AFGB|American Financial Group, Inc. 5.875% Subordinated Debentures due 2059|N|AFGB|N|100|N|AFGB
AFGC|American Financial Group, Inc. 5.125% Subordinated Debentures due 2059|N|AFGC|N|100|N|AFGC
AFGD|American Financial Group, Inc. 5.625% Subordinated Debentures due 2060|N|AFGD|N|100|N|AFGD
AFGE|American Financial Group, Inc. 4.500% Subordinated Debentures due 2060|N|AFGE|N|100|N|AFGE
AFG|American Financial Group, Inc. Common Stock|N|AFG|N|100|N|AFG
AFIB|Acutus Medical, Inc. - Common Stock|Q|N|N|100|N|N
AFIF|Anfield Universal Fixed Income ETF|Z|AFIF|Y|100|N|AFIF
AFINO|American Finance Trust, Inc. - 7.375% Series C Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
AFINP|American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock|Q|N|N|100|N|N
AFIN|American Finance Trust, Inc. - Class A Common Stock|Q|N|N|100|N|N
AFI|Armstrong Flooring, Inc. Common Stock|N|AFI|N|100|N|AFI
AFK|VanEck Vectors-Africa Index ETF|P|AFK|Y|100|N|AFK
AFLG|First Trust Active Factor Large Cap ETF|P|AFLG|Y|100|N|AFLG
AFL|AFLAC Incorporated Common Stock|N|AFL|N|100|N|AFL
AFMC|First Trust Active Factor Mid Cap ETF|P|AFMC|Y|100|N|AFMC
AFMD|Affimed N.V. - Common Stock|G|N|N|100|N|N
AFRM|Affirm Holdings, Inc. - Class A Common Stock|Q|N|N|100|N|N
AFSM|First Trust Active Factor Small Cap ETF|P|AFSM|Y|100|N|AFSM
AFTY|Pacer CSOP FTSE China A50 ETF|P|AFTY|Y|100|N|AFTY
AFT|Apollo Senior Floating Rate Fund Inc. Common Stock|N|AFT|N|100|N|AFT
AFYA|Afya Limited - Class A Common Shares|Q|N|N|100|N|N
AGAC.U|African Gold Acquisition Corporation Units, each consisting of one Class A ordinary share and three-quarters of one redeemable warrant|N|AGAC.U|N|100|N|AGAC=
AGAC.W|African Gold Acquisition Corporation Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50|N|AGAC.WS|N|100|N|AGAC+
AGAC|African Gold Acquisition Corporation Class A Ordinary Shares|N|AGAC|N|100|N|AGAC
AGBAR|AGBA Acquisition Limited - Right|S|N|N|100|N|N
AGBAU|AGBA Acquisition Limited - Unit|S|N|N|100|N|N
AGBAW|AGBA Acquisition Limited - Warrant|S|N|N|100|N|N
AGBA|AGBA Acquisition Limited - Ordinary Share|S|N|D|100|N|N
AGCB|Altimeter Growth Corp. 2 Class A Ordinary Shares|N|AGCB|N|100|N|AGCB
AGCO|AGCO Corporation Common Stock|N|AGCO|N|100|N|AGCO
AGCUU|Altimeter Growth Corp. - Unit|S|N|N|100|N|N
AGCWW|Altimeter Growth Corp. - Warrant|S|N|N|100|N|N
AGC|Altimeter Growth Corp. - Class A Ordinary Shares|S|N|N|100|N|N
AGD|Aberdeen Global Dynamic Dividend Fund|N|AGD|N|100|N|AGD
AGEN|Agenus Inc. - Common Stock|S|N|N|100|N|N
AGE|AgeX Therapeutics, Inc. Common Stock|A|AGE|N|100|N|AGE
AGFS|AgroFresh Solutions, Inc. - Common Stock|Q|N|N|100|N|N
AGFY|Agrify Corporation - Common Stock|S|N|N|100|N|N
AGGRU|Agile Growth Corp. - Units|S|N|N|100|N|N
AGGY|WisdomTree Yield Enhanced U.S. Aggregate Bond Fund|P|AGGY|Y|100|N|AGGY
AGG|iShares Core U.S. Aggregate Bond ETF|P|AGG|Y|100|N|AGG
AGIO|Agios Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
AGI|Alamos Gold Inc. Class A Common Shares|N|AGI|N|100|N|AGI
AGLE|Aeglea BioTherapeutics, Inc. - Common Stock|G|N|N|100|N|N
AGL|agilon health, inc. Common Stock|N|AGL|N|100|N|AGL
AGM$C|Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg|N|AGMpC|N|100|N|AGM-C
AGM$D|Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D|N|AGMpD|N|100|N|AGM-D
AGM$E|Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock, Series E|N|AGMpE|N|100|N|AGM-E
AGM$F|Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock, Series F|N|AGMpF|N|100|N|AGM-F
AGM.A|Federal Agricultural Mortgage Corporation Common Stock|N|AGM.A|N|100|N|AGM.A
AGMH|AGM Group Holdings Inc. - Class A Ordinary Shares|S|N|N|100|N|N
AGM|Federal Agricultural Mortgage Corporation Common Stock|N|AGM|N|100|N|AGM
AGNCM|AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
AGNCN|AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
AGNCO|AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
AGNCP|AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
AGNC|AGNC Investment Corp. - Common Stock|Q|N|N|100|N|N
AGNG|Global X Aging Population ETF|G|N|N|100|Y|N
AGO$B|Assured Guaranty Ltd.|N|AGOpB|N|100|N|AGO-B
AGO$E|Assured Guaranty Ltd.|N|AGOpE|N|100|N|AGO-E
AGO$F|Assured Guaranty Ltd.|N|AGOpF|N|100|N|AGO-F
AGO|Assured Guaranty Ltd. Common Stock|N|AGO|N|100|N|AGO
AGQ|ProShares Ultra Silver|P|AGQ|Y|100|N|AGQ
AGRO|Adecoagro S.A. Common Shares|N|AGRO|N|100|N|AGRO
AGRX|Agile Therapeutics, Inc. - Common Stock|S|N|N|100|N|N
AGR|Avangrid, Inc. Common Stock|N|AGR|N|100|N|AGR
AGS|PlayAGS, Inc. Common Stock|N|AGS|N|100|N|AGS
AGTC|Applied Genetic Technologies Corporation - Common Stock|G|N|N|100|N|N
AGT|iShares MSCI Argentina and Global Exposure ETF|Z|AGT|Y|100|N|AGT
AGX|Argan, Inc. Common Stock|N|AGX|N|100|N|AGX
AGYS|Agilysys, Inc. - Common Stock|Q|N|N|100|N|N
AGZD|WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund|G|N|N|100|Y|N
AGZ|iShares  Agency Bond ETF|P|AGZ|Y|100|N|AGZ
AG|First Majestic Silver Corp. Ordinary Shares (Canada)|N|AG|N|100|N|AG
AHACU|Alpha Healthcare Acquisition Corp. - Unit|S|N|N|100|N|N
AHACW|Alpha Healthcare Acquisition Corp. - Warrant|S|N|N|100|N|N
AHAC|Alpha Healthcare Acquisition Corp. - Common Stock|S|N|N|100|N|N
AHCO|AdaptHealth Corp.  - Class A Common Stock|S|N|N|100|N|N
AHC|A.H. Belo Corporation (TX) Common Stock|N|AHC|N|100|N|AHC
AHH$A|Armada Hoffler Properties, Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock|N|AHHpA|N|100|N|AHH-A
AHH|Armada Hoffler Properties, Inc. Common Stock|N|AHH|N|100|N|AHH
AHL$C|Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares|N|AHLpC|N|100|N|AHL-C
AHL$D|Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares|N|AHLpD|N|100|N|AHL-D
AHL$E|Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares|N|AHLpE|N|100|N|AHL-E
AHPI|Allied Healthcare Products, Inc. - Common Stock|S|N|N|100|N|N
AHT$D|Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock|N|AHTpD|N|100|N|AHT-D
AHT$F|Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock|N|AHTpF|N|100|N|AHT-F
AHT$G|Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock|N|AHTpG|N|100|N|AHT-G
AHT$H|Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock|N|AHTpH|N|100|N|AHT-H
AHT$I|Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock|N|AHTpI|N|100|N|AHT-I
AHT|Ashford Hospitality Trust Inc Common Stock|N|AHT|N|100|N|AHT
AIA|iShares Asia 50 ETF|G|N|N|100|Y|N
AIC|Arlington Asset Investment Corp 6.750% Notes due 2025|N|AIC|N|100|N|AIC
AIEQ|AI Powered Equity ETF|P|AIEQ|Y|100|N|AIEQ
AIF|Apollo Tactical Income Fund Inc. Common Stock|N|AIF|N|100|N|AIF
AIG$A|American International Group, Inc. Depositary Shares Each Representing a 1/1,000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock|N|AIGpA|N|100|N|AIG-A
AIG|American International Group, Inc. New Common Stock|N|AIG|N|100|N|AIG
AIHS|Senmiao Technology Limited - Common Stock|S|N|N|100|N|N
AIH|Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares|G|N|N|100|N|N
